# Kinmatech Trajectory
# Format: J1, J2, J3, J4, J5, J6, Phase, X(mm), Y(mm), Z(mm), RX(deg), RY(deg), RZ(deg), WeldOn, Current(%), Voltage(%), WeavePattern, WeaveLat(mm), WeaveVert(mm), Comment
# Total points: 200  Weld ON: 200  Weave: 167  Patterns: Circle
# Phases: ACCEL: 35  CRUISE: 146  DECEL: 17  STOP: 2

-139.531, -14.618, 129.954, -101.696, 101.137, -120.649, CRUISE, 424.95, 128.83, 846.20, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, -2.99, +0.07, Curve u=0.449 +Circle
-140.373, -14.644, 130.004, -102.171, 100.450, -120.580, CRUISE, 429.32, 124.48, 847.18, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, +0.41, +0.89, Curve u=0.456 +Circle
-141.178, -14.609, 129.968, -102.599, 99.824, -120.367, CRUISE, 432.79, 119.79, 846.27, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, +2.94, -0.18, Curve u=0.463 +Circle
-141.580, -15.058, 129.608, -102.835, 99.485, -120.382, CRUISE, 430.03, 113.97, 845.77, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, -0.80, -0.87, Curve u=0.471 +Circle
-142.071, -15.507, 129.382, -103.138, 99.044, -120.510, CRUISE, 428.85, 108.57, 847.12, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, -2.83, +0.30, Curve u=0.478 +Circle
-142.985, -15.478, 129.455, -103.644, 98.307, -120.378, CRUISE, 433.57, 104.04, 847.85, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, +1.17, +0.83, Curve u=0.485 +Circle
-143.735, -15.512, 129.360, -104.046, 97.725, -120.171, CRUISE, 435.78, 99.04, 846.83, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, +2.69, -0.40, Curve u=0.493 +Circle
-144.102, -16.025, 128.986, -104.265, 97.400, -120.232, CRUISE, 432.28, 93.38, 846.66, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, -1.47, -0.78, Curve u=0.500 +Circle
-144.656, -16.417, 128.815, -104.595, 96.905, -120.333, CRUISE, 431.77, 88.24, 848.14, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, -2.55, +0.48, Curve u=0.507 +Circle
-145.597, -16.354, 128.895, -105.110, 96.153, -120.151, CRUISE, 436.45, 83.59, 848.65, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, +1.66, +0.75, Curve u=0.515 +Circle
-146.299, -16.440, 128.765, -105.491, 95.608, -119.955, CRUISE, 437.68, 78.55, 847.62, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, +2.47, -0.51, Curve u=0.522 +Circle
-146.647, -16.970, 128.399, -105.696, 95.289, -120.037, CRUISE, 433.88, 73.25, 847.63, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, -1.70, -0.74, Curve u=0.529 +Circle
-147.205, -17.340, 128.249, -106.020, 94.786, -120.123, CRUISE, 433.37, 68.37, 849.12, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, -2.50, +0.50, Curve u=0.537 +Circle
-148.122, -17.283, 128.325, -106.523, 94.055, -119.929, CRUISE, 437.64, 63.72, 849.64, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, +1.55, +0.77, Curve u=0.544 +Circle
-148.836, -17.346, 128.219, -106.913, 93.503, -119.718, CRUISE, 438.91, 58.88, 848.71, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, +2.66, -0.41, Curve u=0.551 +Circle
-149.174, -17.830, 127.880, -107.107, 93.193, -119.775, CRUISE, 435.21, 54.08, 848.55, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, -1.13, -0.83, Curve u=0.559 +Circle
-149.629, -18.262, 127.683, -107.369, 92.764, -119.888, CRUISE, 433.47, 49.55, 849.88, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, -2.90, +0.23, Curve u=0.566 +Circle
-150.457, -18.283, 127.733, -107.826, 92.089, -119.748, CRUISE, 436.66, 45.08, 850.80, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, +0.33, +0.89, Curve u=0.574 +Circle
-151.250, -18.244, 127.722, -108.262, 91.479, -119.496, CRUISE, 439.21, 40.54, 850.24, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, +2.99, +0.07, Curve u=0.581 +Circle
-151.666, -18.559, 127.468, -108.493, 91.133, -119.446, CRUISE, 436.94, 36.26, 849.58, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, +0.89, -0.86, Curve u=0.588 +Circle
-151.936, -19.062, 127.182, -108.646, 90.851, -119.579, CRUISE, 433.29, 32.35, 850.22, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, -2.54, -0.48, Curve u=0.596 +Circle
-152.471, -19.326, 127.100, -108.943, 90.371, -119.609, CRUISE, 433.24, 28.43, 851.55, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, -2.29, +0.58, Curve u=0.603 +Circle
-153.258, -19.298, 127.156, -109.377, 89.743, -119.420, CRUISE, 436.20, 24.28, 852.08, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, +1.04, +0.84, Curve u=0.610 +Circle
